doc_id,event_category,event_name,description,date,year,month,visibility_regions
37,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2037-07-13 visible in Australia, New Zealand.",2037-07-13,2037,July,Australia|New Zealand
38,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2038-01-05 visible in Cuba, Dominican Republic, Cote d'Ivoire, Ghana, Niger, Chad, Egypt.",2038-01-05,2038,January,Cuba|Dominican Republic|Cote d'Ivoire|Ghana|Niger|Chad|Egypt
39,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2038-07-02 visible in Colombia, Venezuela, Mauritania, Morocco, Mali, Niger, Chad, Sudan, Ethiopia, Kenya.",2038-07-02,2038,July,Colombia|Venezuela|Mauritania|Morocco|Mali|Niger|Chad|Sudan|Ethiopia|Kenya
40,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2038-12-26 visible in Australia, New Zealand, South Pacific.",2038-12-26,2038,December,Australia|New Zealand|South Pacific
41,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2039-06-21 visible in Alaska, Canada, Norway, Sweden, Finland, Estonia, Russia.",2039-06-21,2039,June,Alaska|Canada|Norway|Sweden|Finland|Estonia|Russia
42,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2039-12-15 visible in South America, Antarctica.",2039-12-15,2039,December,South America|Antarctica
43,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2040-05-11 visible in Australia, New Zealand, Antarctica.",2040-05-11,2040,May,Australia|New Zealand|Antarctica
44,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2040-11-04 visible in North America, Central America.",2040-11-04,2040,November,North America|Central America
45,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2041-04-30 visible in Angola, Congo, Uganda, Kenya, Somalia.",2041-04-30,2041,April,Angola|Congo|Uganda|Kenya|Somalia
46,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2041-10-25 visible in Mongolia, China, Korea, Japan.",2041-10-25,2041,October,Mongolia|China|Korea|Japan
47,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2042-04-20 visible in Malaysia, Indonesia, Philippines.",2042-04-20,2042,April,Malaysia|Indonesia|Philippines
48,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2042-10-14 visible in Thailand, Malaysia, Indonesia, Australia, New Zealand.",2042-10-14,2042,October,Thailand|Malaysia|Indonesia|Australia|New Zealand
49,Solar Eclipse,Total Solar Eclipse,Total solar eclipse occurring on 2043-04-09 visible in Russia.,2043-04-09,2043,April,Russia
50,Solar Eclipse,Annular Solar Eclipse,Annular solar eclipse occurring on 2043-10-03 visible in Indian Ocean.,2043-10-03,2043,October,Indian Ocean
51,Solar Eclipse,Annular Solar Eclipse,Annular solar eclipse occurring on 2044-02-28 visible in Atlantic.,2044-02-28,2044,February,Atlantic
52,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2044-08-23 visible in Greenland, Canada, Montana, North Dakota.",2044-08-23,2044,August,Greenland|Canada|Montana|North Dakota
53,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2045-02-16 visible in New Zealand, Pacific.",2045-02-16,2045,February,New Zealand|Pacific
54,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2045-08-12 visible in USA, Haiti, Dominican Republic, Venezuela, Guyana, French Guiana, Suriname, Brazil.",2045-08-12,2045,August,USA|Haiti|Dominican Republic|Venezuela|Guyana|French Guiana|Suriname|Brazil
55,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2046-02-05 visible in Papua New Guinea, Hawaii, California, Oregon, Idaho.",2046-02-05,2046,February,Papua New Guinea|Hawaii|California|Oregon|Idaho
56,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2046-08-02 visible in Brazil, Angola, Namibia, Botswana, South Africa, Swaziland, Mozambique.",2046-08-02,2046,August,Brazil|Angola|Namibia|Botswana|South Africa|Swaziland|Mozambique
57,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2047-01-26 visible in Asia, Alaska.",2047-01-26,2047,January,Asia|Alaska
58,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2047-06-23 visible in Canada, Greenland, Asia.",2047-06-23,2047,June,Canada|Greenland|Asia
59,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2047-07-22 visible in Australia, New Zealand.",2047-07-22,2047,July,Australia|New Zealand
60,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2047-12-16 visible in Antarctica, Chile, Argentina.",2047-12-16,2047,December,Antarctica|Chile|Argentina
61,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2048-06-11 visible in Midwest USA, Quebec, Greenland, Iceland, Norway, Sweden, Russia, Afghanistan.",2048-06-11,2048,June,Midwest USA|Quebec|Greenland|Iceland|Norway|Sweden|Russia|Afghanistan
62,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2048-12-05 visible in Chile, Argentina, Namibia, Botswana.",2048-12-05,2048,December,Chile|Argentina|Namibia|Botswana
63,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2049-05-31 visible in Peru, Ecuador, Colombia, Venezuela, Guyana, Senegal, Mali, Burkina Faso, Ghana, Nigeria.",2049-05-31,2049,May,Peru|Ecuador|Colombia|Venezuela|Guyana|Senegal|Mali|Burkina Faso|Ghana|Nigeria
64,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2021-05-26 visible in Asia, Australia, Pacific, Americas.",2021-05-26,2021,May,Asia|Australia|Pacific|Americas
65,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2021-11-19 visible in Americas, Europe, Asia, Australia, Pacific.",2021-11-19,2021,November,Americas|Europe|Asia|Australia|Pacific
66,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2022-05-16 visible in Americas, Europe, Africa.",2022-05-16,2022,May,Americas|Europe|Africa
67,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2022-11-08 visible in Asia, Australia, Pacific, Americas.",2022-11-08,2022,November,Asia|Australia|Pacific|Americas
68,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2023-05-05 visible in Africa, Asia, Australia.",2023-05-05,2023,May,Africa|Asia|Australia
69,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2023-10-28 visible in Americas, Europe, Africa, Asia, Australia.",2023-10-28,2023,October,Americas|Europe|Africa|Asia|Australia
70,Lunar Eclipse,Penumbral Lunar Eclipse,Penumbral lunar eclipse occurring on 2024-03-25 visible in Americas.,2024-03-25,2024,March,Americas
71,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2024-09-18 visible in Americas, Europe, Africa.",2024-09-18,2024,September,Americas|Europe|Africa
72,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2025-03-14 visible in Pacific, Americas, Europe, Africa.",2025-03-14,2025,March,Pacific|Americas|Europe|Africa
73,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2025-09-07 visible in Europe, Africa, Asia, Australia.",2025-09-07,2025,September,Europe|Africa|Asia|Australia
74,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2026-03-03 visible in Asia, Australia, Pacific, Americas.",2026-03-03,2026,March,Asia|Australia|Pacific|Americas
75,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2026-08-28 visible in Pacific, Americas, Europe, Africa.",2026-08-28,2026,August,Pacific|Americas|Europe|Africa
76,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2027-02-20 visible in Americas, Europe, Africa, Asia.",2027-02-20,2027,February,Americas|Europe|Africa|Asia
77,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2027-07-18 visible in Africa, Asia, Australia, Pacific.",2027-07-18,2027,July,Africa|Asia|Australia|Pacific
78,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2027-08-17 visible in Pacific, Americas.",2027-08-17,2027,August,Pacific|Americas
79,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2028-01-12 visible in Americas, Europe, Africa.",2028-01-12,2028,January,Americas|Europe|Africa
80,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2028-07-06 visible in Europe, Africa, Asia, Australia.",2028-07-06,2028,July,Europe|Africa|Asia|Australia
81,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2028-12-31 visible in Europe, Africa, Asia, Australia, Pacific.",2028-12-31,2028,December,Europe|Africa|Asia|Australia|Pacific
82,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2029-06-26 visible in Americas, Europe, Africa, Middle East.",2029-06-26,2029,June,Americas|Europe|Africa|Middle East
83,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2029-12-20 visible in Americas, Europe, Africa, Asia.",2029-12-20,2029,December,Americas|Europe|Africa|Asia
84,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2030-06-15 visible in Europe, Africa, Asia, Australia.",2030-06-15,2030,June,Europe|Africa|Asia|Australia
85,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2030-12-09 visible in Americas, Europe, Africa, Asia.",2030-12-09,2030,December,Americas|Europe|Africa|Asia
86,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2031-05-07 visible in Americas, Europe, Africa.",2031-05-07,2031,May,Americas|Europe|Africa
87,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2031-06-05 visible in East Indies, Australia, Pacific.",2031-06-05,2031,June,East Indies|Australia|Pacific
88,Lunar Eclipse,Penumbral Lunar Eclipse,Penumbral lunar eclipse occurring on 2031-10-30 visible in Americas.,2031-10-30,2031,October,Americas
89,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2032-04-25 visible in Africa, Asia, Australia, Pacific.",2032-04-25,2032,April,Africa|Asia|Australia|Pacific
90,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2032-10-18 visible in Africa, Europe, Asia, Australia.",2032-10-18,2032,October,Africa|Europe|Asia|Australia
91,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2033-04-14 visible in Europe, Africa, Asia, Australia.",2033-04-14,2033,April,Europe|Africa|Asia|Australia
92,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2033-10-08 visible in Asia, Australia, Pacific, Americas.",2033-10-08,2033,October,Asia|Australia|Pacific|Americas
93,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2034-04-03 visible in Europe, Africa, Asia, Australia.",2034-04-03,2034,April,Europe|Africa|Asia|Australia
94,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2034-09-28 visible in Americas, Europe, Africa.",2034-09-28,2034,September,Americas|Europe|Africa
95,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2035-02-22 visible in Asia, Pacific, Americas.",2035-02-22,2035,February,Asia|Pacific|Americas
96,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2035-08-19 visible in Americas, Europe, Africa, Middle East.",2035-08-19,2035,August,Americas|Europe|Africa|Middle East
97,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2036-02-11 visible in Americas, Europe, Africa, Asia, Australia.",2036-02-11,2036,February,Americas|Europe|Africa|Asia|Australia
98,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2036-08-07 visible in Americas, Europe, Africa, Asia.",2036-08-07,2036,August,Americas|Europe|Africa|Asia
99,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2037-01-31 visible in Europe, Africa, Asia, Australia, Pacific.",2037-01-31,2037,January,Europe|Africa|Asia|Australia|Pacific
100,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2037-07-27 visible in Americas, Europe, Africa.",2037-07-27,2037,July,Americas|Europe|Africa
101,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2038-01-21 visible in Americas, Europe, Africa.",2038-01-21,2038,January,Americas|Europe|Africa
102,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2038-06-17 visible in North America, South America, Africa, Europe.",2038-06-17,2038,June,North America|South America|Africa|Europe
103,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2038-07-16 visible in Australia, Asia, Pacific, Americas.",2038-07-16,2038,July,Australia|Asia|Pacific|Americas
104,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2038-12-11 visible in Europe, Africa, Asia, Australia.",2038-12-11,2038,December,Europe|Africa|Asia|Australia
105,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2039-06-06 visible in Europe, Africa, Asia, Australia.",2039-06-06,2039,June,Europe|Africa|Asia|Australia
106,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2039-11-30 visible in Europe, Africa, Asia, Australia, Pacific.",2039-11-30,2039,November,Europe|Africa|Asia|Australia|Pacific
107,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2040-05-26 visible in Asia, Australia, Pacific, Americas.",2040-05-26,2040,May,Asia|Australia|Pacific|Americas
108,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2040-11-18 visible in Americas, Europe, Africa, Asia, Australia.",2040-11-18,2040,November,Americas|Europe|Africa|Asia|Australia
109,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2041-05-16 visible in Americas, Europe, Africa, Asia.",2041-05-16,2041,May,Americas|Europe|Africa|Asia
110,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2041-11-08 visible in Americas, Europe, Africa.",2041-11-08,2041,November,Americas|Europe|Africa
111,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2042-04-05 visible in Asia, Australia, Pacific.",2042-04-05,2042,April,Asia|Australia|Pacific
112,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2042-09-29 visible in Asia, Australia, Pacific, Americas.",2042-09-29,2042,September,Asia|Australia|Pacific|Americas
113,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2043-03-25 visible in Africa, Europe, Asia, Australia, Pacific.",2043-03-25,2043,March,Africa|Europe|Asia|Australia|Pacific
114,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2043-09-19 visible in Americas, Europe, Africa, Asia.",2043-09-19,2043,September,Americas|Europe|Africa|Asia
115,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2044-03-13 visible in South America, Europe, Africa, Asia, Australia.",2044-03-13,2044,March,South America|Europe|Africa|Asia|Australia
116,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2044-09-07 visible in Asia, Australia, Pacific, Americas.",2044-09-07,2044,September,Asia|Australia|Pacific|Americas
117,Lunar Eclipse,Penumbral Lunar Eclipse,Penumbral lunar eclipse occurring on 2045-03-03 visible in Americas.,2045-03-03,2045,March,Americas
118,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2045-08-27 visible in Asia, Australia, North America.",2045-08-27,2045,August,Asia|Australia|North America
119,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2046-01-22 visible in Asia, Australia, North America.",2046-01-22,2046,January,Asia|Australia|North America
120,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2046-07-18 visible in Americas, Europe, Africa, Asia.",2046-07-18,2046,July,Americas|Europe|Africa|Asia
121,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2047-01-12 visible in Americas, Europe, Africa, Asia.",2047-01-12,2047,January,Americas|Europe|Africa|Asia
122,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2047-07-07 visible in Asia, Australia, Pacific, Americas.",2047-07-07,2047,July,Asia|Australia|Pacific|Americas
123,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2048-01-01 visible in Asia, Pacific, Americas, Europe, Africa.",2048-01-01,2048,January,Asia|Pacific|Americas|Europe|Africa
124,Lunar Eclipse,Partial Lunar Eclipse,"Partial lunar eclipse occurring on 2048-06-26 visible in Americas, Europe, Africa.",2048-06-26,2048,June,Americas|Europe|Africa
125,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2048-12-20 visible in Americas, Europe, Africa.",2048-12-20,2048,December,Americas|Europe|Africa
126,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2049-05-17 visible in Asia, Australia, Pacific, Americas.",2049-05-17,2049,May,Asia|Australia|Pacific|Americas
127,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2049-06-15 visible in Europe, Africa, Asia, Australia.",2049-06-15,2049,June,Europe|Africa|Asia|Australia
128,Lunar Eclipse,Penumbral Lunar Eclipse,"Penumbral lunar eclipse occurring on 2049-11-09 visible in Europe, Africa, Asia, Australia, Pacific.",2049-11-09,2049,November,Europe|Africa|Asia|Australia|Pacific
129,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2050-05-06 visible in Americas, Europe, Africa, Asia, Australia.",2050-05-06,2050,May,Americas|Europe|Africa|Asia|Australia
130,Lunar Eclipse,Total Lunar Eclipse,"Total lunar eclipse occurring on 2050-10-30 visible in Americas, Europe, Africa, Asia.",2050-10-30,2050,October,Americas|Europe|Africa|Asia
131,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2021, visible globally under clear skies.",2021-01-03,2021,January,Global
132,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2021, visible globally under clear skies.",2021-04-22,2021,April,Global
133,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2021, visible globally under clear skies.",2021-05-06,2021,May,Global
134,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2021, visible globally under clear skies.",2021-08-12,2021,August,Global
135,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2021, visible globally under clear skies.",2021-10-08,2021,October,Global
136,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2021, visible globally under clear skies.",2021-10-21,2021,October,Global
137,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2021, visible globally under clear skies.",2021-11-17,2021,November,Global
138,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2021, visible globally under clear skies.",2021-12-14,2021,December,Global
139,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2021, visible globally under clear skies.",2021-12-22,2021,December,Global
140,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2022, visible globally under clear skies.",2022-01-03,2022,January,Global
141,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2022, visible globally under clear skies.",2022-04-22,2022,April,Global
142,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2022, visible globally under clear skies.",2022-05-06,2022,May,Global
143,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2022, visible globally under clear skies.",2022-08-12,2022,August,Global
144,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2022, visible globally under clear skies.",2022-10-08,2022,October,Global
145,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2022, visible globally under clear skies.",2022-10-21,2022,October,Global
146,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2022, visible globally under clear skies.",2022-11-17,2022,November,Global
147,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2022, visible globally under clear skies.",2022-12-14,2022,December,Global
148,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2022, visible globally under clear skies.",2022-12-22,2022,December,Global
149,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2023, visible globally under clear skies.",2023-01-03,2023,January,Global
150,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2023, visible globally under clear skies.",2023-04-22,2023,April,Global
151,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2023, visible globally under clear skies.",2023-05-06,2023,May,Global
